area	district	address	floors	bedrooms	toilets	front	entrance	houseAspect	balconyAspect	price
100.0	Bình Chánh	Đường Đinh Đức Thiện, Xã Bình Chánh	2	4	2	30.0	8.0	Tây-Bắc	Tây-Bắc	1200.0
128.0	Quận 2	Đường 12, Phường Bình An								12800.0
60.0	Hóc Môn	Đường Liên Xã, Xã Tân Hiệp				5.0	8.0			1050.0
67.5	Tân Bình	Đường Thăng Long, Phường 4	3							10500.0
88.0	Quận 5	Đường Trần Hưng Đạo								23000.0
123.7	Bình Tân	11/2A, Đường Liên Khu 5-6, Phường Bình Hưng Hòa B								5500.0
79.9	Phú Nhuận	Phường 8	4				10.0			11500.0
26.0	Phú Nhuận	116/7B, Đường Nguyễn Công Hoan, Phường 7	4			5.85	2.0			4000.0
60.0	Hóc Môn	Đường Tân Thới 2, Xã Tân Hiệp	2	3	2	5.0	6.0			1100.0
122.0	Củ Chi	Đường Hương lộ 2, Xã Tân Phú Trung				14.0	14.0			860.0
52.0	Quận 12	Đường Nguyễn Thị Búp, Phường Hiệp Thành	3	4	3	4.0	6.0			3100.0
37.0	Phú Nhuận	Đường Nguyễn Công Hoan, Phường 7	2	3	2	4.0	5.0			3500.0
78.0	Phú Nhuận	Đường Phổ Quang, Phường 9								13500.0
20.8	Gò Vấp	Hẻm 87/, Đường Số 27, Phường 6	2	2	2		2.0			2050.0
120.0	Hóc Môn	Đường Đặng Thúc Vịnh, Xã Thới Tam Thôn				6.0	10.0	Đông-Nam	Đông-Nam	1450.0
38.4	Tân Bình	Đường Trần Văn Dư, Phường 13	1	2	2	4.0	5.0			1500.0
120.0	Tân Bình	Đường Yên Thế, Phường 2				6.0	8.0			16700.0
72.0	Quận 1	Đường Cô Bắc, Phường Cô Giang								17800.0
40.0	Hóc Môn	Hẻm 1, Đường Nguyễn Ảnh Thủ	2	2	2					1800.0
120.0	Phú Nhuận	Đường Nguyễn Trọng Tuyển, Phường 8								19800.0
196.0	Tân Bình	Đường Trường Sơn, Phường 2								17500.0
140.0	Quận 2	Phố Lương Định Của, Phường Bình An								17500.0
316.0	Quận 3						10.0			57000.0
	Bình Tân	Đường Số 9, Phường Bình Hưng Hòa	4	3	3	5.0	5.0	Đông-Bắc		1970.0
	Quận 6	Đường Tân Hòa Đông								1190.0
65.0	Hóc Môn	Phố Lý Thường Kiệt, Thị trấn Hóc Môn	1	3	4	5.0	7.0			1300.0
65.0	Hóc Môn	Phố Lý Thường Kiệt				5.0	8.0			1350.0
65.0	Hóc Môn	Phố Lý Thường Kiệt, Thị trấn Hóc Môn	1	3	1	5.0	5.0			1350.0
42.5	Quận 12	Đường Lê Thị Nho, Phường Trung Mỹ Tây	2	2	2	5.0	5.0			1520.0
12.0	Tân Phú	Đường Phú Thọ Hòa, Phường Phú Thọ Hòa	2	1	1	3.3	4.0			1570.0
44.0	Quận 12	Đường Nguyễn Văn Quá, Phường Đông Hưng Thuận	2	2	2	4.0	3.5			1620.0
220.0	Bình Thạnh	20/11, Đường Đinh Bộ Lĩnh, Phường 26	3	8	9	10.0	12.0			19900.0
378.0	Bình Thạnh	21/1, Đường Nguyễn Bỉnh Khiêm, Phường 1								24000.0
56.0	Tân Phú	23/36/113, Đường Nguyễn Hữu Tiến, Phường Tây Thạnh		2	2	4.0	4.0	Bắc	Bắc	3900.0
100.0	Tân Bình	Hẻm XH 25/35/3, Đường Cửu Long, Phường 2	4	7	6	5.0	7.0			14500.0
72.0	Quận 12	28/2A Đường Thạnh Lộc 22, Phường Thạnh Lộc	3	3	4		7.0	Đông-Bắc		4150.0
124.0	Bình Chánh	Đường Ấp 1, Xã Vĩnh Lộc A	2	4	4	8.0	6.0	Đông	Đông	5500.0
70.0	Thủ Đức	Đường Quốc Lộ 13, Phường Hiệp Bình Phước	3	4	4		8.0			4600.0
120.0	Củ Chi	Đường Hà Duy Phiên, Xã Bình Mỹ				16.0	16.0			710.0
80.0	Tân Phú	Đường T6, Phường Tây Thạnh	3	4	4	4.0	6.0			5700.0
130.0	Bình Thạnh	Đường Phan Văn Trị	5	5		55.0	7.0			9850.0
	Tân Phú	Đường Tân Thành, Phường Tân Thành								5500.0
150.0	Tân Bình	Đường Bạch Đằng, Phường 2				7.5	8.0			22000.0
187.5	Tân Bình	Đường Bạch Đằng, Phường 2				7.5	8.0			22000.0
52.6	Quận 6	962/, Đường An Dương Vương, Phường 13				4.5				4200.0
88.0	Gò Vấp	Đường số 2	2	5	4	4.0	10.0	Tây-Bắc	Tây-Bắc	8600.0
56.0	Tân Bình	Đường Nguyễn Hồng Đào, Phường 14	2	2	2	4.0	5.0			6900.0
55.0	Phú Nhuận	Đường Lê Văn Sỹ								6300.0
43.0	Tân Bình	Phố Lý Thường Kiệt, Phường 9	3							8200.0
400.0	Quận 3	Phố Hai Bà Trưng, Phường 6								147000.0
40.0	Phú Nhuận	Phố Phan Đăng Lưu, Phường 5	3	4	5					4700.0
40.0	Phú Nhuận	Phố Phan Đăng Lưu, Phường 5	3	4	5					4700.0
76.0	Thủ Đức	Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh	4	4		5.0	6.0			5000.0
72.0	Thủ Đức	Đường Số 2, Phường Hiệp Bình Phước	4	4		4.0	5.0			3900.0
60.0	Thủ Đức	Đường Phạm Văn Đồng, Phường Hiệp Bình Chánh	4	4			4.0			4500.0
40.0	Quận 12	Đường Đông Hưng Thuận 2, Phường Đông Hưng Thuận	2	2	2	4.0	4.0			3200.0
36.5	Bình Thạnh	Đường Điện Biên Phủ								3500.0
120.0	Quận 10	Đường Cao Thắng, Phường 11						Đông-Bắc	Đông-Bắc	7000.0
40.0	Bình Tân	363/38, Đường Đất Mới								3980.0
48.0	Bình Tân	Đường Đất Mới								4350.0
50.0	Thủ Đức	Đường 22	2							3600.0
40.0	Phú Nhuận	Đường Cầm Bá Thước, Phường 7	2	2	2	6.0	3.0			3850.0
65.0	Tân Phú	Đường Tân Kỳ Tân Quý, Phường Tân Quý								5300.0
45.0	Quận 8	Đường An Dương Vương, Phường 16	3			3.8				4600.0
43.0	Nhà Bè	Đường Phạm Hữu Lầu, Xã Phước Kiển								3000.0
40.0	Hóc Môn	Đường Nguyễn Văn Bứa, Xã Xuân Thới Sơn	1	2	2	6.0	8.0			420.0
83.0	Gò Vấp	Đường Lê Lợi								5500.0
450.0	Cần Giờ	Đường Nguyễn Văn Mạnh, Xã Long Hòa				10.0	4.0	Đông-Nam		4500.0
45.5	Bình Thạnh	81, Đường Huỳnh Mẫn Đạt, Phường 19	2			3.0	3.0			4900.0
45.0	Bình Thạnh	Đường Phan Văn Trị								4700.0
90.0	Quận 1	Đường Nguyễn Thị Minh Khai, Phường Bến Nghé								25000.0
47.0	Phú Nhuận	Đường Phan Xích Long, Phường 3	3	4			2.5			5800.0
74.0	Gò Vấp	Hẻm 226, Đường Nguyễn Văn Lượng, Phường 16								3800.0
119.0	Phú Nhuận	Đường Phùng Văn Cung, Phường 4	4	2	3	3.5	3.0			3200.0
40.0	Gò Vấp	745/84/7, Đường Quang Trung, Phường 12								3300.0
60.0	Bình Thạnh	Đường Lê Quang Định								5800.0
59.4	Bình Thạnh	Đường Lê Quang Định, Phường 7								5800.0
80.0	Gò Vấp	Đường Phạm Văn Bạch, Phường 12				4.0	6.0	Tây-Nam	Tây-Nam	6250.0
72.0	Quận 1	Đường Ký Con, Phường Nguyễn Thái Bình								44000.0
38.0	Quận 7	Đường Phạm Hữu Lầu, Phường Phú Mỹ	2	2						3300.0
51.0	Phú Nhuận	Đường Phan Xích Long, Phường 2								6950.0
120.0	Tân Bình	Đường Đồng Đen, Phường 14								11400.0
122.0	Tân Bình	Đường Phạm Phú Thứ, Phường 11								11400.0
35.0	Bình Tân	532/1, Đường Kinh Dương Vương, Phường Bình Trị Đông B					4.0			2250.0
51.0	Bình Thạnh	Đường Bùi Đình Túy, Phường 24	3	6	6					5300.0
55.0	Bình Tân	Đường Số 9, Phường Bình Hưng Hòa	2							3000.0
27.0	Quận 1	337/11, Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh	4							5500.0
29.0	Quận 1	Đường Nguyễn Cảnh Chân, Phường Cầu Kho								5700.0
56.0	Bình Thạnh	93, Đường Hoàng Hoa Thám, Phường 6	3	4	4	4.0	3.5			5700.0
59.0	Bình Tân	Hẻm 557, Đường Hương Lộ 3, Phường Bình Hưng Hòa	2	2	2					3100.0
36.0	Tân Bình	Đường Nguyễn Phúc Chu, Phường 15	3	3	4	5.0	3.0	Tây-Bắc	Tây-Bắc	5150.0
108.0	Hóc Môn	Xã Thới Tam Thôn				18.0	18.0			870.0
64.0	Gò Vấp	Đường Nguyễn Văn Công, Phường 3								6700.0
83.0	Bình Thạnh	Đường Xô Viết Nghệ Tĩnh								7780.0
155.7	Bình Chánh	738/20/3, Đường Quốc lộ 1A, Xã Vĩnh Lộc B								4400.0
122.0	Hóc Môn	Đường Dương Công Khi, Xã Tân Hiệp				14.0	14.0			740.0
76.0	Bình Thạnh	Đường Đinh Bộ Lĩnh								6650.0
108.4	Quận 10	Đường Thành Thái, Phường 14	2				3.0	Đông-Bắc		8200.0
152.0	Củ Chi	Đường Tỉnh lộ 15, Xã Tân Thạnh Đông				14.0	14.0			780.0
148.8	Tân Bình	Hẻm số 78/30, Đường Ba Vân, Phường 14	4			8.0	10.0	Tây		28500.0
48.0	Quận 10									7800.0
39.0	Quận 10	Đường 3/2, Phường 11	3	3	3	3.0	4.0			7900.0
90.0	Hóc Môn	Đường Tân Hiệp, Xã Tân Hiệp				16.0	16.0			820.0
52.2	Tân Phú	Đường Vườn Lài, Phường Tây Thạnh	2			8.8	4.0			5300.0
113.0	Quận 10	Đường Tô Hiến Thành, Phường 13	2	9	7		4.0			10500.0
74.0	Tân Bình	Đường Trần Mai Ninh, Phường 12	5				6.0			8800.0
160.0	Gò Vấp	Đường Lê Đức Thọ, Phường 16	2	3	3		3.0	Tây-Nam		7700.0
56.0	Quận 12	Đường Hà Huy Giáp, Phường Thạnh Lộc	2	2	1	4.0	8.0			950.0
70.0	Tân Bình	Đường Giải Phóng, Phường 4								9700.0
60.5	Quận 3									13900.0
72.0	Bình Chánh	Đường Liên ấp 123, Xã Vĩnh Lộc B	2	2	2	6.0	6.0	Đông	Đông	970.0
47.0	Bình Thạnh	304/, Đường Bùi Đình Túy, Phường 12	3	5	3		3.5	Tây	Tây	7000.0
35.0	Quận 12	Đường Hà Huy Giáp, Phường Thạnh Xuân	2	2	2		5.5	Đông-Bắc	Đông-Bắc	1290.0
62.0	Quận 10	Đường 3/2, Phường 12								13000.0
16.0	Gò Vấp									1490.0
38.0	Phú Nhuận	Phố Phan Đăng Lưu, Phường 5								3700.0
100.0	Bình Chánh	Xã Bình Chánh	3	4	3	6.0	14.0			1600.0
100.0	Bình Chánh	Đường Đinh Đức Thiện, Xã Bình Chánh	3	4	3	8.0	14.0			1800.0
34.1	Phú Nhuận	Đường Trần Hữu Trang, Phường 10	3							9000.0
86.0	Quận 9	Phường Tân Phú				5.0	3.0			3000.0
60.0	Quận 12	Đường Huỳnh Thị Hai, Phường Tân Chánh Hiệp	1	2	1	15.0	6.0			1000.0
76.5	Phú Nhuận	Đường Huỳnh Văn Bánh, Phường 14								13200.0
142.3	Phú Nhuận	122/10 & 122/10A, Đường Đặng Văn Ngữ, Phường 14	6				8.0			30500.0
116.8	Gò Vấp	Số 252/62/18, Đường Phạm Văn Chiêu, Phường 9				8.0	6.0	Tây-Nam	Tây-Nam	9000.0
40.0	Quận 1	Đường Trần Hưng Đạo, Phường Nguyễn Cư Trinh	4							11000.0
1100.0	Quận 12	Đường Sơn Ca 8, Phường An Phú Đông					8.0			28000.0
300.0	Nhà Bè	Đường Nguyễn Văn Tạo, Xã Long Thới		12		12.0	12.0			8250.0
36.0	Tân Phú	138/12, Đường Nguyễn Súy, Phường Tân Quý	2			4.0	4.0			3500.0
110.0	Quận 2	Đường Xuân Thủy, Phường Thảo Điền								18500.0
300.0	Nhà Bè	Đường Nguyễn Văn Tạo, Xã Long Thới		14			12.0			8250.0
151.0	Bình Chánh	Đường Nguyễn Đình Kiên, Xã Tân Nhựt								3020.0
121.0	Quận 1	Phố Hai Bà Trưng	8							32000.0
154.0	Gò Vấp	Đường Số 8, Phường 11								16699.0
99.11	Quận 5	Đường Nguyễn Trãi, Phường 3	6	18	19					15500.0
120.0	Bình Chánh	Phố Trần Đại Nghĩa	1			5.0	12.0			2400.0
220.0	Quận 9	Đường 14, Phường Phước Bình				8.0	10.0	Bắc	Bắc	9000.0
80.0	Bình Chánh	Đường Quốc Lộ 50, Xã Đa Phước	2	2	1	4.0	6.0			650.0
95.0	Thủ Đức	Đường Số 5, Phường Linh Trung	3	24	24	5.5	4.0	Tây	Tây	8700.0
267.0	Gò Vấp	Đường Huỳnh Khương An, Phường 5								4100.0
60.0	Quận 3	Phố Nguyễn Thiện Thuật, Phường 3	3	4	3	4.0	4.0	Tây-Nam	Tây-Nam	14000.0
30.0	Thủ Đức	Hẻm số 24, Đường 10, Phường Linh Xuân	3	3	3	3.0	15.0	Tây-Nam	Tây-Nam	2100.0
47.0	Gò Vấp	Đường Phan Huy Ích, Phường 12								3950.0
185.0	Thủ Đức	Đường Kha Vạn Cân, Phường Linh Trung	2	5	5	10.0	16.0			6000.0
93.0	Quận 9	Đường Nguyễn Văn Tăng, Phường Long Thạnh Mỹ	1	4	2	7.0	3.0			3700.0
113.0	Gò Vấp	Số 39 - 41, Đường Trưng Nữ Vương, Phường 4								19000.0
	Bình Tân	Đường 5C, Phường Bình Hưng Hòa A								5800.0
	Quận 9	Đường Nguyễn Duy Trinh, Phường Phú Hữu				9.0	7.0			5950.0
125.0	Bình Chánh	Đường Trần Văn Giàu, Xã Lê Minh Xuân					16.0			1900.0
175.5	Bình Tân	Đường Hương lộ 2, Phường Bình Trị Đông	1							7400.0
76.0	Bình Tân	Đường Lê Đình Cẩn, Phường Tân Tạo					6.0	Đông	Đông	3950.0
150.0	Củ Chi	Xã Hòa Phú		6	6	10.0	10.0			1500.0
128.0	Bình Tân	Đường Mã Lò, Phường Bình Trị Đông A	1			9.0	8.0			3450.0
105.0	Quận 2	Phường Thảo Điền								7500.0
170.0	Bình Thạnh	Đường Nơ Trang Long, Phường 13								23500.0
144.0	Bình Thạnh	Đường D2, Phường 25								32000.0
220.0	Bình Tân	Phường Bình Hưng Hòa B								12600.0
	Gò Vấp	Đường Lê Đức Thọ, Phường 6	5							6000.0
36.4	Tân Bình	Đường Hoàng Hoa Thám, Phường 13	3	2	2	3.5	8.0			6600.0
30.0	Thủ Đức	Đường Số 10, Phường Linh Xuân	3	3	3	3.5	3.5	Tây-Nam	Tây-Nam	2100.0
71.3	Tân Bình	Đường Trần Mai Ninh, Phường 12	4	5						7500.0
81.5	Bình Tân	Đường Hương lộ 2, Phường Bình Trị Đông A	2	4	3	4.0	12.0	Tây-Bắc		7199.0
152.0	Bình Tân	Đường Số 1, Phường Bình Hưng Hòa B								13300.0
260.0	Quận 9	Đường 4, Phường Phước Bình				12.0		Tây-Bắc		21500.0
400.0	Quận 3	Đường Nam Kỳ Khởi Nghĩa, Phường 7	2			16.0				70000.0
72.0	Quận 7	KC52 Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây								4200.0
112.0	Tân Bình	449/99/4, Đường Trường Chinh, Phường 14	3							16000.0
48.0	Tân Bình	Đường Hoàng Hoa Thám, Phường 13	3	3			8.0			8000.0
136.0	Thủ Đức	Đường 1, Phường Hiệp Bình Chánh	3	3	3	4.0	4.0	Đông-Nam	Đông-Nam	4650.0
65.0	Bình Tân	Đường Nguyễn Thị Tú, Phường Bình Hưng Hòa B	3	4	4					5600.0
100.0	Quận 12	Đường Thạnh Lộc 19, Phường Thạnh Lộc	1			6.0	6.0	Đông-Bắc		3220.0
75.0	Bình Tân	Đường 2, Phường Tân Tạo A				6.0	6.0			1600.0
600.0	Tân Bình	Phố Lý Thường Kiệt, Phường 9	4				10.0			38000.0
	Thủ Đức	Đường 8, Phường Linh Xuân								55000.0
77.0	Quận 3	Đường Lê Văn Sỹ, Phường 13	30			5.0	6.0			14200.0
77.0	Quận 3	Đường Lê Văn Sỹ, Phường 13								14200.0
160.0	Quận 5	101, Đường Nguyễn Chí Thanh, Phường 9	3			8.0	12.0			28000.0
160.0	Quận 5	101, Đường Nguyễn Chí Thanh, Phường 9	3							28000.0
160.0	Quận 5	101, Đường Nguyễn Chí Thanh, Phường 9	3			8.0	12.0			28000.0
122.0	Phú Nhuận	122, Đường Phổ Quang, Phường 9	3			9.0				20000.0
125.0	Gò Vấp	Đường Lê Đức Thọ, Phường 15	3	4			16.0			11300.0
173.6	Quận 9	Đường 12, Phường Phước Bình	4	6	6	8.0	21.7			13500.0
170.0	Quận 3	238, Đường Pasteur, Phường 6	3							23500.0
278.0	Quận 7	Đường Phú Thuận, Phường Phú Thuận	2	4	5	7.84	4.0			18500.0
320.0	Tân Bình	Đường Nguyễn Văn Trỗi, Phường 1	3				12.0			62000.0
	Quận 3	Đường Nam Kỳ Khởi Nghĩa, Phường 7								49000.0
320.0	Tân Bình	Đường Nguyễn Văn Trỗi, Phường 1	2			16.0	10.0			65000.0
300.0	Tân Bình	Đường Nguyễn Trọng Lội, Phường 4	2							37000.0
310.0	Thủ Đức	Đường Số 17, Phường Hiệp Bình Chánh	4			20.0	20.0			35000.0
350.0	Tân Bình	Đường Nguyễn Văn Trỗi, Phường 1	3			14.0	20.0			57000.0
131.0	Phú Nhuận	Đường Nguyễn Đình Chính, Phường 8	3	4	4					20500.0
184.0	Gò Vấp	Đường Lê Đức Thọ, Phường 17								13200.0
96.0	Quận 10		5	9	9	8.0	10.0			19300.0
96.0	Quận 10		4	8	8	8.0	12.0			20800.0
96.0	Quận 10		4			8.0	12.0	Đông-Nam		20500.0
96.0	Quận 10		5	9	9	8.0	10.0			19400.0
120.0	Quận 10	Đường Cách Mạng Tháng Tám								19500.0
119.0	Quận 10	Hẻm 595, Đường Cách Mạng Tháng Tám, Phường 15	4				8.0			19500.0
96.0	Quận 10		5			8.0	10.0			19400.0
120.0	Quận 3	Đường Trần Quang Diệu	3							26000.0
493.0	Quận 7	320 Nguyễn Văn Linh	2			17.0				44900.0
125.4	Gò Vấp	496, Đường Dương Quảng Hàm, Phường 6	3	5		5.7	8.0	Tây-Bắc		14000.0
170.0	Phú Nhuận	Đường Nguyễn Văn Trỗi								33500.0
70.0	Phú Nhuận	Phố Phan Đăng Lưu								11800.0
163.0	Quận 3	Đường Lê Văn Sỹ, Phường 14	5				7.0			29000.0
169.4	Gò Vấp	Đường Quang Trung, Phường 10	2	5			5.0			7600.0
160.0	Tân Bình	78/30, Đường Ba Vân, Phường 14	5			8.0	10.0			28500.0
160.0	Quận 5	Đường Nguyễn Chí Thanh, Phường 9	4	4	5					28000.0
	Quận 5	Đường Nguyễn Chí Thanh, Phường 9								28000.0
442.4	Quận 2	Phường An Phú	2							57998.63999999999
152.0	Tân Bình	Đường Ba Vân, Phường 14	4	4			10.0			28500.0
135.0	Quận 2	Phường Thảo Điền	2							11500.0
85.0	Bình Thạnh	Dự án Bình Hòa, Đường Bình Lợi, Phường 13	3	3	4	8.5		Tây-Nam		9000.0
234.0	Quận 7	Đường Số 58 KDC Tân Quy Đông, Phường Tân Phong	3	6	5	14.6	4.0			32000.0
141.7	Bình Thạnh	Đường Lam Sơn, Phường 6	4	8	3	7.0				22500.0
120.0	Quận 10	Đường Cao Thắng, Phường 12								19500.0
170.0	Phú Nhuận	Đường Huỳnh Văn Bánh, Phường 14								39800.0
166.0	Quận 3	Đường Phạm Ngọc Thạch, Phường 6	2							70000.0
	Phú Nhuận	Đường Lê Văn Sỹ, Phường 10	5							16000.0
140.0	Quận 2	Đường Thảo Điền, Phường Thảo Điền	3							23000.0
210.0	Quận 3	Đường Tú Xương, Phường 6								55000.0
210.0	Quận 3	Đường Hồ Xuân Hương, Phường 6								55000.0
210.0	Quận 3	Đường Nam Kỳ Khởi Nghĩa, Phường 6								55000.0
170.0	Quận 3	Đường Lê Văn Sỹ, Phường 14	4							35000.0
200.0	Phú Nhuận	Đường Hoàng Diệu, Phường 10	2			10.0				24000.0
160.0	Tân Bình	Phường 2	4				10.0			25000.0
220.4	Quận 3	Đường Nguyễn Đình Chiểu, Phường 4	2			12.0	6.0			30000.0
	Quận 2									46000.0
200.0	Thủ Đức	Đường Số 27, Phường Hiệp Bình Chánh	2							12500.0
140.0	Thủ Đức	Đường 19, Phường Hiệp Bình Chánh	2	4	4			Nam	Nam	11500.0
168.0	Bình Tân	Hẻm 483, Đường Lê Văn Quới, Phường Bình Trị Đông A	4				12.0			11500.0
152.0	Tân Phú	Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ	4	6		8.5	5.0	Nam		14000.0
91.0	Phú Nhuận	Đường Lê Văn Sỹ								15000.0
90.0	Phú Nhuận	Đường Đặng Văn Ngữ, Phường 10	3	4	4					15000.0
160.0	Tân Bình	Đường Trương Công Định, Phường 14	5	5			10.0			28500.0
161.5	Tân Bình	99C, Đường Cộng Hòa, Phường 4	4							27000.0
119.0	Quận 3	Đường Lê Văn Sỹ, Phường 13	2							24000.0
160.0	Quận 8	Đường 152, Phường 4	3			8.0				18000.0
450.0	Bình Tân	Phường Bình Hưng Hòa B	2	4	4		30.0			39000.0
200.0	Quận 2	Đường 31A, Phường An Phú	3			10.0	12.0			27300.0
273.0	Quận 2	Đường Trần Não, Phường Bình An	4	6	5	10.0	12.0	Đông-Nam		34000.0
196.0	Phú Nhuận	43D, Đường Hồ Văn Huê, Phường 9	4			14.0	12.0			49000.0
136.0	Quận 10	Đường 3/2, Phường 12	3	3		8.0				27000.0
200.0	Bình Thạnh	Đường Bình Lợi, Phường 13	2							21000.0
190.0	Tân Bình	Đường Cộng Hòa, Phường 12								26000.0
200.0	Tân Bình	Đường Cửu Long, Phường 2								32800.0
133.0	Tân Phú	Hẻm 320, Đường Độc Lập, Phường Tân Thành	3							15500.0
100.0	Tân Bình	Đường Hồng Hà, Phường 2	4	6						16000.0
200.0	Quận 11	Đường Lê Đại Hành, Phường 13	4			10.0	12.0			35000.0
160.0	Bình Tân	Đường Lê Văn Quới, Phường Bình Trị Đông	3	5	4	8.0	8.0			11500.0
195.0	Quận 1	Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao	3							33000.0
160.0	Quận 10	Đường Nguyễn Chí Thanh, Phường 3	3			8.0				28000.0
200.0	Phú Nhuận	Đường Nguyễn Trọng Tuyển	2				10.0			30000.0
568.0	Quận 3	Đường Pasteur, Phường 6								140000.0
500.0	Gò Vấp	Đường Phạm Văn Chiêu, Phường 14	3							24000.0
144.0	Tân Bình	Đường Phan Huy Ích, Phường 15	3	4	5	8.0	8.0			14500.0
126.0	Tân Bình	Đường Phổ Quang, Phường 2	3							19500.0
174.0	Quận 2	Đường Quốc Hương, Phường Thảo Điền								21000.0
168.0	Bình Tân	Đường Số 11A, Phường Bình Trị Đông B	2	4	3	8.0	10.0	Nam	Nam	13500.0
112.0	Quận 8	Đường Số 19, Phường 7	3	3		8.0				6400.0
399.5	Thủ Đức	Đường Số 27, Phường Hiệp Bình Chánh								30000.0
160.0	Quận 8	Đường Cao Lỗ, Phường 4	3			8.0				18000.0
110.0	Quận 10	Đường Sư Vạn Hạnh, Phường 12	4				10.0			24500.0
110.0	Quận 10	Đường Sư Vạn Hạnh, Phường 12								25000.0
286.1	Tân Bình	Đường Thân Nhân Trung, Phường 13	4	6	7	12.0	10.0			45000.0
112.0	Quận 10	Đường Tô Hiến Thành, Phường 15								19500.0
260.0	Quận 1	Đường Trần Hưng Đạo, Phường Cầu Kho								65000.0
325.0	Quận 1	Đường Trần Hưng Đạo, Phường Cầu Kho								66900.0
82.0	Bình Thạnh	Đường Xô Viết Nghệ Tĩnh, Phường 17	4	3	3	6.4				10500.0
160.0	Tân Bình	Đường Yên Thế, Phường 2	3				7.0			25000.0
200.0	Thủ Đức	Đường Số 27, Phường Hiệp Bình Chánh	1				6.0			12500.0
92.0	Tân Phú		3	4	4	6.3	12.0	Bắc	Bắc	7600.0
301.0	Quận 1	Đường Trần Hưng Đạo, Phường Cô Giang	5							59000.0
130.2	Phú Nhuận	Đường Đặng Văn Ngữ, Phường 10	3	4	5		8.0			21000.0
162.0	Tân Bình	Đường Lê Văn Sỹ	4			9.0	10.0			27000.0
162.0	Tân Bình	Đường Lê Văn Sỹ	4				10.0			27000.0
162.0	Tân Bình	Đường Lê Văn Sỹ, Phường 2	4				10.0			27000.0
136.4	Phú Nhuận	Đường Đặng Văn Ngữ, Phường 10	4			6.2	8.0			21000.0
136.0	Phú Nhuận	Đường Đặng Văn Ngữ, Phường 10	4			6.2	8.0			21000.0
162.0	Tân Bình	Đường Lê Văn Sỹ								27000.0
162.0	Tân Bình	Đường Lê Văn Sỹ	4				10.0			27000.0
120.0	Phú Nhuận	Đường Nguyễn Trọng Tuyển, Phường 10								21500.0
115.0	Phú Nhuận	Đường Đặng Văn Ngữ								21000.0
228.0	Bình Tân	Đường 12, Phường Bình Hưng Hòa B	2							14500.0
92.0	Quận 3	Đường Lê Văn Sỹ	3	4	4	7.5	8.0			22500.0
126.0	Tân Bình	Đường Phổ Quang, Phường 2	4	5	5					20000.0
270.0	Quận 3	Đường Nam Kỳ Khởi Nghĩa, Phường 7								50000.0
108.0	Quận 10	Đường Cư Xá Nguyễn Trung Trực, Phường 12	4				8.0			22600.0
316.0	Phú Nhuận	Đường Nguyễn Văn Trỗi	3							65000.0
117.6	Quận 10	Đường Cách Mạng Tháng Tám, Phường 15	4				8.0			19500.0
120.0	Quận 3	Đường Lê Văn Sỹ	3							23500.0
172.0	Tân Phú	Đường Bờ Bao Tân Thắng, Phường Sơn Kỳ	3				8.0		Tây	28500.0
268.0	Quận 3	Đường Nam Kỳ Khởi Nghĩa, Phường 7	2				8.0			48000.0
286.1	Tân Bình	Đường Thân Nhân Trung, Phường 13	4			12.0	10.0			43000.0
503.0	Quận 2	Đường Thảo Điền, Phường Thảo Điền	2							80000.0
96.0	Phú Nhuận	Đường Lê Văn Sỹ	5							17500.0
289.0	Quận 3	Hẻm 193, Đường Nam Kỳ Khởi Nghĩa, Phường 7	3							50000.0
496.0	Quận 3	HXH 232, Đường Võ Thị Sáu, Phường 7	1							55000.0
165.0	Tân Bình	Hẻm 307, Đường Nguyễn Văn Trỗi, Phường 1	3							33000.0
160.0	Quận 3	Hẻm 351, Đường Lê Văn Sỹ, Phường 13	4				8.0			41500.0
170.0	Quận 3	Đường Lê Văn Sỹ, Phường 14	3			8.5	6.0			36000.0
105.0	Tân Phú									12800.0
120.0	Tân Bình	Đường Bạch Đằng, Phường 2					6.0			16700.0
	Tân Bình	Đường Phổ Quang, Phường 2								40000.0
170.0	Quận 10	Đường Nguyễn Tri Phương, Phường 9				11.0	8.0			25000.0
170.0	Quận 10	Đường Sư Vạn Hạnh, Phường 12				11.0				27500.0
152.0	Tân Bình	Đường Ba Vân, Phường 14	3				12.0			30000.0
108.0	Quận 3	Hẻm số 2, Đường Cao Thắng, Phường 5	4							27900.0
100.0	Tân Bình	Đường Cộng Hòa, Phường 4	4			5.0	10.0			14300.0
270.0	Quận 3	Đường Nguyễn Đình Chiểu, Phường 5	4							38000.0
266.0	Quận 3	Đường Nguyễn Đình Chiểu, Phường 5	5							38000.0
270.0	Quận 3	Đường Nguyễn Đình Chiểu, Phường 5	5							39000.0
270.0	Quận 3	Phố Nguyễn Thiện Thuật, Phường 1	4							38000.0
266.0	Quận 3	Phố Nguyễn Thiện Thuật, Phường 1	5							38000.0
270.0	Quận 3	Phố Nguyễn Thiện Thuật, Phường 1	5							39000.0
112.0	Quận 3	Đường Lê Văn Sỹ, Phường 13	2							24000.0
