address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_est_value	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures
1238 Mountain Blvd	Oakland	CA	94611	08/29/2019	4665.0	Single Family Residence	2.0	1.0	1024.0	5050.0	1939		1027000.0	1099850367	Alameda County, CA	048G741802400	230227.0	537198.0	767425.0	11444 (1.49 %)	3	308	307	310	4
1059 Warfield Ave	Oakland	CA	94610	11/05/1979	604.0	Single Family Residence	3.0	1.0	2424.0	6650.0	1923		133000.0	1099833565	Alameda County, CA	011 085600700	184070.0	70413.0	254483.0	4517 (1.77 %)	3	308	307	310	4
3820 Horner St	Union City	CA	94587	08/29/2019	3588.0	Single Family Residence	4.0	2.5	1432.0	5051.0	1976		790000.0	1099827157	Alameda County, CA	483 011300100	33868.0	120361.0	154229.0	3203 (2.07 %)	3	67	46	116	4
13095 Aurora Dr	San Leandro	CA	94577	08/13/1996	736.0	Single Family Residence	2.0	1.0	1479.0	10800.0	1945		162000.0	1099820888	Alameda County, CA	079A056500802	68199.0	158712.0	226911.0	3397 (1.49 %)	3	123	79	226	4
5600 Scoville St	Oakland	CA	94621	08/29/2019	2498.0	Single Family Residence	2.0	1.0	816.0	4644.0	1926		550000.0	1099824426	Alameda County, CA	038 322802600	56818.0	132575.0	189393.0	3485 (1.84 %)	3	308	307	310	4
2543 E 29th St	Oakland	CA	94602	08/29/2019	2884.0	Single Family Residence	2.0	1.0	1096.0	4800.0	1912		635000.0	1099846900	Alameda County, CA	026 081300500	73501.0	171502.0	245003.0	4334 (1.76 %)	3	308	307	310	4
2334 D St	Hayward	CA	94541	08/29/2019	1953.0	Condominium	2.0	1.5	1092.0	735.0	1975		430000.0	1099827123	Alameda County, CA	416 021003000	93496.0	177938.0	271434.0	3711 (1.36 %)	3	123	84	213	4
25912 Hayward Blvd Apt 310	Hayward	CA	94542	08/29/2019	2194.0	Condominium	2.0	2.0	1203.0		1983		483000.0	1099837150	Alameda County, CA	425 040003800	74228.0	173199.0	247427.0	3158 (1.27 %)	3	123	84	213	4
730 29th St # 11	Oakland	CA	94609	08/29/2019	2294.0	Condominium	1.0		630.0		1931		505000.0	1099855758	Alameda County, CA	009 069603800	115122.0	272542.0	387664.0	6301 (1.62 %)	3	308	307	310	4
387 Balmoral Way	Hayward	CA	94544	08/29/2019	3066.0	Single Family Residence	4.0	3.0	1575.0	5005.0	1956		675000.0	1099828254	Alameda County, CA	078G274001700	78190.0	112822.0	191012.0	2592 (1.35 %)	3	123	84	213	4
3016 Filbert St Apt 7	Oakland	CA	94608	08/29/2019	3793.0	Condominium	1.0	2.0	1755.0		1930		835000.0	1099820468	Alameda County, CA	005 046704400	159773.0	372805.0	532578.0	8162 (1.53 %)	3	308	307	310	4
16 Adair Way	Hayward	CA	94542	08/29/2019	5539.0	Single Family Residence	4.0	4.5	4674.0	9255.0	2015		1219500.0	1099853872	Alameda County, CA	085A643404000	384642.0	897498.0	1282140.0	15635 (1.21 %)	0	123	84	213	0
4653 Montecarlo Park Ct	Fremont	CA	94538	08/29/2019	5850.0	Single Family Residence	4.0	2.5	1958.0	6660.0	1964		1288000.0	1099835363	Alameda County, CA	525 132003000	500000.0	600000.0	1100000.0	13403 (1.21 %)	3	59	40	103	4
3690 Locke Ct	Pleasanton	CA	94566	08/29/2019	9425.0	Single Family Residence	4.0	3.5	3591.0	19693.0	1995		2075000.0	1099822618	Alameda County, CA	950 000900700	385445.0	532325.0	917770.0	10633 (1.15 %)	0	33	19	65	0
18760 Cindy Way	Castro Valley	CA	94546	08/29/2019	4202.0	Single Family Residence	4.0	2.5	2176.0	6360.0	1965		925000.0	1099830089	Alameda County, CA	084B037502400	125699.0	293298.0	418997.0	5612 (1.33 %)	0	123	79	226	0
5001 Fairfax Ave	Oakland	CA	94601	08/30/2019	3316.0	Single Family Residence	3.0	1.5	1430.0	3216.0	1929		730000.0	1100279576	Alameda County, CA	035 237205100	20914.0	28731.0	49645.0	1793 (3.61 %)	3	308	307	310	4
3040 Delamar Dr	Dublin	CA	94568	08/29/2019	9003.0	Residential - Vacant Land				6077.0			1982000.0	1099853086	Alameda County, CA	985 012603600					0	33	18	70	0
3965 Windsor Way	Dublin	CA	94568	08/30/2019	5449.0	Residential - Vacant Land				3276.0			1199500.0	1100334362	Alameda County, CA	986 005212000	383854.0	0.0	383854.0	4953 (1.29 %)	0	33	18	70	0
25208 Parklane Dr	Hayward	CA	94544	08/30/2019	3566.0	Residential - Vacant Land							785000.0	1100228029	Alameda County, CA	444 008203800					0	123	84	213	0
33403 Scarlett Ter	Union City	CA	94587	08/29/2019	4633.0	Residential - Vacant Land				2135.0			1020000.0	1099837948	Alameda County, CA	475 018307100					0	67	46	116	0
9624 Armstrong Dr	Oakland	CA	94603	08/29/2019	3043.0	Single Family Residence	3.0	2.5	1692.0	2554.0	2009		670000.0	1099876261	Alameda County, CA	044 508004500	125676.0	293615.0	419291.0	6674 (1.59 %)	3	308	307	310	4
