address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_est_value	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures
1527 Marigold Rd	Livermore	CA	94551	11/06/2019	2089.0	Single Family Residence	2.0	2.0	866.0	6000.0	1963		460000.0	1102354640	Alameda County, CA	099 003702900	28021.0	38985.0	67006.0	1427 (2.12 %)	3	51	33	92	4
26 Highgate Rd	Kensington	CA	94707	07/10/1969	4143.0	Single Family Residence	3.0	1.5	1548.0	9350.0	1948	912000.0		1102195294	Contra Costa County, CA	5722310140	25832.0	44418.0	70250.0	2368 (3.37 %)	3	25	16	47	4
28630 Barn Rock Dr	Hayward	CA	94542	11/06/2019	5360.0	Single Family Residence	4.0	2.5	2962.0	9750.0	1992		1180000.0	1102385631	Alameda County, CA	425 049001800	384564.0	325599.0	710163.0	9439 (1.32 %)	3	123	84	213	4
2875 Wilson Cmn	Fremont	CA	94538	12/09/1983	3647.0	Townhouse	3.0	2.5	1748.0	1732.0	1980	803000.0		1102336331	Alameda County, CA	525 078510600	46132.0	200474.0	246606.0	3335 (1.35 %)	3	59	40	103	4
6452 Aspenwood Way	Livermore	CA	94551	11/06/2019	3820.0	Single Family Residence	4.0	2.5	1882.0	5600.0	1997		841000.0	1102340268	Alameda County, CA	099B535303900	161822.0	377585.0	539407.0	7247 (1.34 %)	3	51	33	92	4
233 Purdue Ave	Kensington	CA	94708	11/08/2019	3906.0	Single Family Residence	2.0	1.0	1186.0	4000.0	1939		860000.0	1102006365	Contra Costa County, CA	5701910076	46675.0	57845.0	104520.0	2624 (2.51 %)	3	25	16	47	4
1648 Ramblewood Way	Pleasanton	CA	94566	02/04/1965	4701.0	Single Family Residence	3.0	2.0	1675.0	10277.0	1964	1035000.0		1102340317	Alameda County, CA	946 337801200	28306.0	63431.0	91737.0	1067 (1.16 %)	0	33	19	65	0
Purdue Ave	Kensington	CA	94708	11/08/2019	3906.0	MISCELLANEOUS				2000.0			860000.0	1102001185	Contra Costa County, CA	5701910084	2008.0	0.0	2008.0	116 (5.80 %)	0	25	16	47	2
1651 4th St	Livermore	CA	94550	11/06/2019	3225.0	Single Family Residence	2.0	1.0	1046.0	5000.0	1951		710000.0	1102351203	Alameda County, CA	097 004100504	131287.0	248003.0	379290.0	5297 (1.39 %)	3	51	33	92	4
190 Stanford Ave	Kensington	CA	94708	11/18/2019	5215.0	Single Family Residence	2.0	1.0	1296.0	3480.0	1984		1148000.0	1102148820	Contra Costa County, CA	5700120024	234313.0	180953.0	415266.0	6548 (1.57 %)	3	25	16	47	4
33113 Pinto Ct	Union City	CA	94587	11/06/2019	3822.0	Single Family Residence	5.0	3.0	1841.0	7336.0	1957		841500.0	1102340055	Alameda County, CA	087 009100600	26193.0	66236.0	92429.0	2395 (2.59 %)	3	67	46	116	4
2014 Myrtle St	Oakland	CA	94607	11/06/2019	902.0	Duplex (2 units, any combination)	5.0	2.0	2286.0	3125.0	1893		198500.0	1102347865	Alameda County, CA	005 041002800	97958.0	228569.0	326527.0	5630 (1.72 %)	3	308	307	310	4
240 Colgate Ave	Kensington	CA	94708	11/25/2019	6178.0	Single Family Residence	4.0	2.0	1478.0	5000.0	1938		1360000.0	1102358090	Contra Costa County, CA	5701800079	32498.0	27856.0	60354.0	2173 (3.60 %)	3	25	16	47	4
86 Norwood Ave	Kensington	CA	94707	11/07/2019	8290.0	Single Family Residence	4.0	3.0	3035.0	18720.0	1954		1825000.0	1101801865	Contra Costa County, CA	5721810298	55779.0	126619.0	182398.0	4089 (2.24 %)	3	25	16	47	4
282 Lake Dr	Kensington	CA	94708	11/08/2019	6019.0	Single Family Residence	3.0	2.5	1959.0	5500.0	1938		1325000.0	1101847733	Contra Costa County, CA	5702210112	732219.0	201273.0	933492.0	13297 (1.42 %)	3	25	16	47	4
2534 Buena Vista Ave	Alameda	CA	94501	11/06/2019	5814.0	Single Family Residence	4.0	2.0	1737.0	3600.0	1915		1280000.0	1102341660	Alameda County, CA	070 016801100	354800.0	532200.0	887000.0	11022 (1.24 %)	3	66	37	135	4
19 Randwick Ave	Oakland	CA	94611	07/23/1970		Gas Station				5200.0			N/A	1102344457	Alameda County, CA	009 070300200	36970.0	24505.0	61475.0	2033 (3.30 %)	0	308	307	310	0
5663 Carberry Ave	Oakland	CA	94609	11/06/2019	4579.0	Single Family Residence	2.0	1.0	1201.0	3800.0	1931		1008000.0	1102337160	Alameda County, CA	015 127707900	43493.0	33759.0	77252.0	1840 (2.38 %)	3	308	307	310	4
1639 10th St	Berkeley	CA	94710	03/18/2019	5837.0	Single Family Residence	3.0	2.0	1087.0	5031.0	1924		1285000.0	1102351279	Alameda County, CA	058 212802000	204545.0	477272.0	681817.0	9761 (1.43 %)	0	125	94	197	0
27806 Dobbel Ave	Hayward	CA	94542	11/06/2019	3934.0	Single Family Residence	4.0	2.5	2442.0	10841.0	1989		866000.0	1102361351	Alameda County, CA	081D208602604	130752.0	304999.0	435751.0	5883 (1.35 %)	3	123	84	213	4
260 Amherst Ave	Kensington	CA	94708	03/27/1978	382.0	Single Family Residence	4.0	2.0	2120.0	4635.0	1928		84000.0	1101920107	Contra Costa County, CA	5700600074	99125.0	73314.0	172439.0	3635 (2.10 %)	3	25	16	47	4
1201 Pine St Unit 462	Oakland	CA	94607	11/06/2019	2339.0	Condominium	1.0	1.0	845.0				515000.0	1102357065	Alameda County, CA	006 005714200	111839.0	260958.0	372797.0	6103 (1.63 %)	3	308	307	310	4
15033 Kesterson St	San Leandro	CA	94579	11/06/2019	3043.0	Single Family Residence	3.0	1.0	1513.0	5520.0	1948		670000.0	1102347853	Alameda County, CA	080H151100500	34046.0	34261.0	68307.0	1212 (1.77 %)	3	123	79	226	4
261 Colgate Ave	Kensington	CA	94708	11/20/2019	4588.0	Single Family Residence	2.0	1.0	1135.0	4000.0	1939		1010000.0	1102249606	Contra Costa County, CA	5701920240	31413.0	30174.0	61587.0	2164 (3.51 %)	3	25	16	47	4
996 Apgar St	Oakland	CA	94608	11/06/2019	4111.0	Quadruplex (4 units, any combination)	4.0	4.0	4340.0	4880.0	1912		905000.0	1102340296	Alameda County, CA	012 095200700	38660.0	36336.0	74996.0	2877 (3.83 %)	3	308	307	310	4
2927 Monticello Ave	Oakland	CA	94619	02/29/1988	386.0	Single Family Residence	4.0	2.0	2246.0	4200.0	1924		85000.0	1102379946	Alameda County, CA	036 244200200	71741.0	150598.0	222339.0	4028 (1.81 %)	3	308	307	310	4
652 Selby Ln Unit 1	Livermore	CA	94551	11/06/2019	908.0	Condominium	3.0	3.0	1949.0		2012		200000.0	1102345635	Alameda County, CA	903 001324000	131567.0	306955.0	438522.0	5938 (1.35 %)	0	51	33	92	0
35122 Lido Blvd Unit J	Newark	CA	94560	11/06/2019	2498.0	Condominium	2.0	2.0	1060.0		1984		550000.0	1102356874	Alameda County, CA	092A259210700	138000.0	322000.0	460000.0	5828 (1.26 %)	3	86	56	155	4
3064 Randall Way	Hayward	CA	94541	11/06/2019	3248.0	Single Family Residence	3.0	2.0	1610.0	7440.0	1945		715000.0	1102346439	Alameda County, CA	426 002005100	132424.0	308990.0	441414.0	5845 (1.32 %)	3	123	84	213	4
Warm Springs Blvd	Fremont	CA	94538	11/06/2019	6541.0	Residential - Vacant Land							1440000.0	1102339011	Alameda County, CA	519 175900100					0	59	40	103	4
5868 Ocean View Dr	Oakland	CA	94618	11/06/2019	7222.0	Single Family Residence	3.0	1.5	2030.0	5250.0	1912		1590000.0	1102342028	Alameda County, CA	048A705300900	523260.0	1220940.0	1744200.0	24641 (1.41 %)	3	308	307	310	4
4845 Delores Dr	Union City	CA	94587	05/14/1981	3952.0	Single Family Residence			1880.0	6269.0	1977	870000.0		1102380288	Alameda County, CA	483 011202200	52414.0	149887.0	202301.0	3769 (1.86 %)	3	67	46	116	4
6060 Nesta Ct	Dublin	CA	94568	11/06/2019	4442.0	Residential - Vacant Land				2100.0			978000.0	1102344175	Alameda County, CA	986 005806100					0	33	18	70	0
945 E 24th St	Oakland	CA	94606	11/06/2019	2248.0	Single Family Residence	3.0	1.0	1213.0	2500.0	1922		495000.0	1102344418	Alameda County, CA	022 031800100	84227.0	24574.0	108801.0	2062 (1.89 %)	3	308	307	310	4
170 Orchard Ave	Hayward	CA	94544	11/06/2019	2462.0	Single Family Residence	7.0	4.0	3447.0	0.55	1943		542000.0	1102361533	Alameda County, CA	444 001501500	270220.0	630514.0	900734.0	11301 (1.25 %)	3	123	84	213	4
3451 Pierson St	Oakland	CA	94619	07/21/2004	1953.0	Single Family Residence	4.0	3.0	2041.0	6510.0	1922		430000.0	1102374958	Alameda County, CA	036 250203000	154926.0	476494.0	631420.0	9695 (1.53 %)	0	308	307	310	0
24613 Thomas Ave	Hayward	CA	94544	11/06/2019	2725.0	Single Family Residence	3.0	2.0	1092.0	5000.0	1990		600000.0	1102342275	Alameda County, CA	444 002104100	74675.0	174242.0	248917.0	3205 (1.28 %)	3	123	84	213	4
2762 Vine Dr	Livermore	CA	94550	11/06/2019	5882.0	Single Family Residence	4.0	2.5	3318.0	10032.0	2004		1295000.0	1102338740	Alameda County, CA	099 080204400	278601.0	650069.0	928670.0	11857 (1.27 %)	3	51	33	92	4
31953 Trevor Ave	Hayward	CA	94544	11/06/2019	1008.0	Single Family Residence	3.0	2.0	1078.0	6006.0	1955		222000.0	1102348293	Alameda County, CA	078G293400100	130389.0	304241.0	434630.0	6251 (1.43 %)	0	123	84	213	0
1 Kelton Ct Apt 10G	Oakland	CA	94611	11/06/2019	3856.0	Condominium	2.0	1.5	1375.0	1.14	1974		849000.0	1102344654	Alameda County, CA	012 098729900	80840.0	194017.0	274857.0	4693 (1.70 %)	3	308	307	310	4
13170 Neptune Dr # 2	San Leandro	CA	94577	11/06/2019	3089.0	Single Family Residence	3.0	2.5	1714.0	1631.0	1997		680000.0	1102354866	Alameda County, CA	079A056504900	78000.0	184122.0	262122.0	3818 (1.45 %)	0	123	79	226	0
1663 11th St	Oakland	CA	94607	11/06/2019	4997.0	Single Family Residence	5.0	3.0	2380.0	5050.0	1918		1100000.0	1102346938	Alameda County, CA	006 001303400	228649.0	533515.0	762164.0	11458 (1.50 %)	3	308	307	310	4
2419 Monticello Ave	Oakland	CA	94601	06/16/2008	704.0	Single Family Residence	2.0	1.0	816.0	6750.0	1906		155000.0	1102343964	Alameda County, CA	036 242701100	52625.0	122793.0	175418.0	3451 (1.96 %)	3	308	307	310	4
22175 Victory Dr	Hayward	CA	94541	11/06/2019	3018.0	Single Family Residence	3.0	1.0	1083.0	10441.0	1943		664500.0	1102335739	Alameda County, CA	432 002802000	108502.0	68129.0	176631.0	2595 (1.46 %)	0	123	84	213	0
27066 Columbia Ct	Hayward	CA	94542	01/24/1992	1408.0	Single Family Residence	3.0	2.5	2253.0	7221.0	1979		310000.0	1102345701	Alameda County, CA	081D208508100	141697.0	330627.0	472324.0	5825 (1.23 %)	3	123	84	213	4
17490 Langton Way	Hayward	CA	94541	11/06/2019	454.0	Single Family Residence	2.0	1.0	840.0	6321.0	1942		100000.0	1102347779	Alameda County, CA	414 002101700	57295.0	133689.0	190984.0	2779 (1.45 %)	3	123	84	213	4
377 Palm Ave Apt 304	Oakland	CA	94610	11/06/2019	1953.0	Condominium	1.0	1.0	591.0	10400.0	1970		430000.0	1102373589	Alameda County, CA	010 078605300	79560.0	186660.0	266220.0	4577 (1.71 %)	3	308	307	310	4
811 Barker Ave	Hayward	CA	94541	11/06/2019	2853.0	Single Family Residence	3.0	2.0	1200.0	6800.0	1955		628000.0	1102352313	Alameda County, CA	432 002807400	26829.0	39505.0	66334.0	1301 (1.96 %)	3	123	84	213	4
8354 Ney Ave	Oakland	CA	94605	10/18/1974	2067.0	Single Family Residence	2.0	1.5	1452.0	4136.0	1951	455000.0		1102347710	Alameda County, CA	043A464700500	15419.0	189790.0	205209.0	4529 (2.20 %)	3	308	307	310	4
2332 Browning St	Berkeley	CA	94702	11/06/2019	2725.0	Condominium							600000.0	1102345221	Alameda County, CA	056 192503700	20207.0	47149.0	67356.0	2094 (3.10 %)	3	125	94	197	4
1098 Tulane Ave	San Leandro	CA	94579	11/06/2019	3402.0	Single Family Residence	3.0	1.0	1651.0	6175.0	1951		749000.0	1102351568	Alameda County, CA	080H154700800	131738.0	307390.0	439128.0	5506 (1.25 %)	3	123	79	226	4
621 Barron Way	Hayward	CA	94544	RECENTLY SOLD	3339.0	Single Family Residence	3.0	2.0	1501.0	6000.0	1960	735000.0		1102356175	Alameda County, CA	083 025105100	96230.0	87601.0	183831.0	2523 (1.37 %)	3	123	84	213	4
3551 Teeling Way	Castro Valley	CA	94546	11/06/2019	3986.0	Residential - Vacant Land							877500.0	1102371823	Alameda County, CA	084A028103000					0	123	79	226	0
1400 66th St	Berkeley	CA	94702	11/06/2019	4088.0	Single Family Residence	3.0	1.0	1333.0	3990.0	1927		900000.0	1102349168	Alameda County, CA	052 153901400	52387.0	122237.0	174624.0	4432 (2.53 %)	3	125	94	197	4
35170 Palomares Rd	Castro Valley	CA	94552	11/06/2019	5224.0	Single Family Residence	3.0	2.0	1866.0	2.05	1970		1150000.0	1102350451	Alameda County, CA	085A470000207	517775.0	398686.0	916461.0	11670 (1.27 %)	3	123	79	226	4
1514 21st Ave	Oakland	CA	94606	11/06/2019	1851.0	Single Family Residence	5.0	1.0	1696.0	3000.0	1900		407500.0	1102352998	Alameda County, CA	020 016102000	23238.0	13520.0	36758.0	1525 (4.15 %)	3	308	307	310	4
2824 E 23rd St	Oakland	CA	94601	11/06/2019	2339.0	Single Family Residence	4.0	2.5	2254.0	8989.0	1912		515000.0	1102356937	Alameda County, CA	026 076501400	164158.0	383037.0	547195.0	8225 (1.50 %)	3	308	307	310	4
5613 Antone Rd	Fremont	CA	94538	11/06/2019	1488.0	Single Family Residence	3.0	2.0	1330.0	5700.0	1963		327500.0	1102352172	Alameda County, CA	531 021502700	211247.0	492911.0	704158.0	8714 (1.23 %)	3	59	40	103	4
1157 Virginia St	Berkeley	CA	94702	11/06/2019	4220.0	Single Family Residence	2.0	1.5	1247.0	6000.0	1913		929000.0	1102361418	Alameda County, CA	059 228902801	223711.0	521993.0	745704.0	10552 (1.41 %)	3	125	94	197	4
1839 Berkeley Way	Berkeley	CA	94703	11/06/2019	4953.0	Single Family Residence	4.0	2.0	1883.0	6250.0	1892		1090500.0	1102359295	Alameda County, CA	057 206300700	109636.0	256241.0	365877.0	7390 (2.01 %)	3	125	94	197	4
30063 Palomares Rd	Castro Valley	CA	94552	04/13/2006	5678.0	Single Family Residence	4.0	2.5	2188.0	2.72	1952		1250000.0	1102353295	Alameda County, CA	085A360000801	600000.0	450000.0	1050000.0	12747 (1.21 %)	3	123	79	226	4
41 Vicente Pl	Berkeley	CA	94705	11/06/2019	1635.0	Residential - Vacant Land	3.0	2.5	2878.0	11100.0	1989		360000.0	1102348585	Alameda County, CA	048H760401203	172220.0	0.0	172220.0	3372 (1.95 %)	3	125	94	197	4
6363 Christie Ave Apt 604	Emeryville	CA	94608	02/17/1988	493.0	Condominium	1.0	1.0	768.0		1984		108500.0	1102354277	Alameda County, CA	049 153108200	71576.0	107364.0	178940.0	2563 (1.43 %)	3	316	212	561	4
4199 Rainbow Ter	Fremont	CA	94555	11/06/2019	2612.0	Townhouse	2.0	1.5	988.0	780.0	1970		575000.0	1102357870	Alameda County, CA	543 024720700	54705.0	127645.0	182350.0	2582 (1.41 %)	3	59	40	103	4
11733 Cranford Way	Oakland	CA	94605	11/06/2019	4997.0	Single Family Residence	3.0	2.0	1695.0	8042.0	1961		1100000.0	1102369769	Alameda County, CA	048 614006300	29787.0	60208.0	89995.0	1898 (2.11 %)	3	308	307	310	4
1807 Durant Ave	Oakland	CA	94603	11/06/2019	2226.0	Single Family Residence	2.0	1.0	910.0	2525.0	1950		490000.0	1102380961	Alameda County, CA	047 554001400	82386.0	192235.0	274621.0	4733 (1.72 %)	3	308	307	310	4
1368 102nd Ave	Oakland	CA	94603	11/06/2019	1590.0	Single Family Residence	2.0	1.0	1001.0	5400.0	1940		350000.0	1102376710	Alameda County, CA	045 518602800	36753.0	85758.0	122511.0	2737 (2.23 %)	3	308	307	310	4
148 May Ct	Hayward	CA	94544	11/06/2019	2544.0	Single Family Residence	3.0	1.0	1050.0	6944.0	1952		560000.0	1102348828	Alameda County, CA	078C041301100	27463.0	27674.0	55137.0	932 (1.69 %)	0	123	84	213	0
2018 W Avenue 135th	San Leandro	CA	94577	11/06/2019	4542.0	Triplex (3 units, any combination)	6.0	3.0	2530.0	14800.0	1958		1000000.0	1102375106	Alameda County, CA	079A058002100	141305.0	211958.0	353263.0	5786 (1.63 %)	0	123	79	226	0
125 Louvaine Ave	Oakland	CA	94603	11/06/2019	2407.0	Single Family Residence	2.0	1.0	825.0	4056.0	1942		530000.0	1102353248	Alameda County, CA	045 531600900	37079.0	88467.0	125546.0	3424 (2.72 %)	3	308	307	310	4
39 Glen Eden Ave	Oakland	CA	94611	02/01/1993	186.0	Single Family Residence	2.0	1.0	1682.0	5250.0	1940		41000.0	1102354711	Alameda County, CA	013 111800500	149279.0	115820.0	265099.0	4790 (1.80 %)	3	308	307	310	4
44849 Insight St # 1009	Fremont	CA	94538	11/06/2019	4429.0	Residential - Vacant Land							975000.0	1102349644	Alameda County, CA	519 175428400					0	59	40	103	0
355 Jerome Ave	Piedmont	CA	94610	11/06/2019	9880.0	Single Family Residence	3.0	3.0	1947.0	7685.0	1921		2175000.0	1102358707	Alameda County, CA	051 463400200	407132.0	949975.0	1357107.0	20909 (1.54 %)	3	57	48	77	4
4012 St Helena Way	Dublin	CA	94568	05/30/2019	5131.0	Residential - Vacant Land				2880.0			1129500.0	1102359161	Alameda County, CA	986 005212700	337453.0	0.0	337453.0	4370 (1.29 %)	0	33	18	70	0
37863 Manzanita St	Newark	CA	94560	11/06/2019	4020.0	Single Family Residence	4.0	3.0	2000.0	7200.0	1965		885000.0	1102355094	Alameda County, CA	092A214107400	29034.0	91422.0	120456.0	1856 (1.54 %)	3	86	56	155	4
6116 Marshall St	Oakland	CA	94608	11/05/2019	4224.0	Duplex (2 units, any combination)	3.0	2.0	1896.0		1910		930000.0	1102338631	Alameda County, CA	016 145901200					0	308	307	310	0
2615 55th Ave	Oakland	CA	94605	11/05/2019	2975.0	Single Family Residence	2.0	1.0	1006.0	3330.0	1924		655000.0	1102342250	Alameda County, CA	036 248302700	91402.0	213271.0	304673.0	5138 (1.68 %)	3	308	307	310	4
821 Resota St	Hayward	CA	94545	11/05/2019	3130.0	Single Family Residence	3.0	2.0	1485.0	3452.0	1960		689000.0	1102351473	Alameda County, CA	442 004509400	60559.0	143746.0	204305.0	2681 (1.31 %)	3	123	84	213	4
819 Oak Manor Ct	Pleasanton	CA	94566	11/05/2019	10447.0	Single Family Residence	4.0	4.5	4458.0	0.63	1999		2300000.0	1102347800	Alameda County, CA	946 405200101	503246.0	1253459.0	1756705.0	21450 (1.22 %)	0	33	19	65	0
2284 Goldcrest Cir	Pleasanton	CA	94566	11/05/2019	3293.0	Single Family Residence	2.0	1.0	874.0	3360.0	1969		725000.0	1102345352	Alameda County, CA	946 332908500	14788.0	33378.0	48166.0	643 (1.33 %)	0	33	19	65	0
1775 Hillview Dr	San Leandro	CA	94577	12/02/1994	1240.0	Single Family Residence	4.0	2.0	2778.0	8610.0	1960		273000.0	1102357074	Alameda County, CA	079 002608400	118384.0	276133.0	394517.0	5287 (1.34 %)	3	123	79	226	4
1773 Orchard Way	Pleasanton	CA	94566	11/05/2019	6586.0	Single Family Residence	5.0	3.0	2738.0	7500.0	1966		1450000.0	1102371281	Alameda County, CA	946 333703000	16266.0	102750.0	119016.0	1383 (1.16 %)	3	33	19	65	4
958 28th St # 14	Oakland	CA	94608	06/22/2011	522.0	Condominium	1.0	1.0	1481.0		1924		115000.0	1102359033	Alameda County, CA	005 045304400	38084.0	88863.0	126947.0	2686 (2.11 %)	3	308	307	310	4
20010 Shadow Creek Cir	Castro Valley	CA	94552	08/19/2019	4127.0	Single Family Residence	4.0	2.5	2130.0	3038.0	1998		908500.0	1102354377	Alameda County, CA	085 530010800	243270.0	567630.0	810900.0	10399 (1.28 %)	3	123	79	226	4
1054 47th St	Emeryville	CA	94608	09/21/1966	3411.0	Single Family Residence	2.0	1.0	1063.0	2500.0	1915	751000.0		1102353738	Alameda County, CA	049 117501200	23449.0	21759.0	45208.0	959 (2.12 %)	3	316	212	561	4
6524 Cedar Blvd	Newark	CA	94560	11/05/2019	5224.0	Single Family Residence	6.0	3.0	2289.0	5900.0	1963		1150000.0	1102342530	Alameda County, CA	092A061408400	19222.0	123670.0	142892.0	2118 (1.48 %)	0	86	56	155	0
2210 Filbert St	Oakland	CA	94607	11/05/2019	3552.0	Residential - Vacant Land							782000.0	1102356035	Alameda County, CA	005 043012700					0	308	307	310	0
6416 Valley View Rd	Oakland	CA	94611	11/05/2019	3975.0	Single Family Residence	3.0	2.0	1316.0	17190.0	1925		875000.0	1102353700	Alameda County, CA	048G744104001	303960.0	542640.0	846600.0	12339 (1.45 %)	3	308	307	310	4
44819 S Grimmer Blvd Unit 1010	Fremont	CA	94538	11/05/2019	5612.0	Residential - Vacant Land							1235500.0	1102343448	Alameda County, CA	519 175425600					0	59	40	103	0
6757 Brush Rabbit Ave	Newark	CA	94560	11/05/2019	6652.0	Residential - Vacant Land				3888.0			1464500.0	1102366836	Alameda County, CA	901 020006500					0	86	56	155	0
15878 Via Del Sol	San Lorenzo	CA	94580	11/05/2019	2748.0	Single Family Residence	3.0	1.0	986.0	5000.0	1944		605000.0	1102340054	Alameda County, CA	412 003107000	38108.0	24232.0	62340.0	1199 (1.92 %)	3	123	79	226	4
314 Lincoln Ave	Alameda	CA	94501	11/05/2019	4424.0	Single Family Residence	2.0	1.5	1246.0	5130.0	1929		974000.0	1102343370	Alameda County, CA	074 046402200	88737.0	207054.0	295791.0	4793 (1.62 %)	3	66	37	135	4
69 Via Diego	San Lorenzo	CA	94580	11/05/2019	3111.0	Single Family Residence	3.0	2.0	1393.0	6000.0	1950		685000.0	1102341079	Alameda County, CA	413 007307400	30632.0	39293.0	69925.0	1288 (1.84 %)	3	123	79	226	4
41268 Vargas Rd	Fremont	CA	94539	06/25/2003		Single Family Residence	3.0	5.0	3895.0	6.72	1984		N/A	1102335441	Alameda County, CA	513 001001801	200386.0	561686.0	762072.0	8920 (1.17 %)	3	59	40	103	4
1650 Trestle Glen Rd	Oakland	CA	94610	11/05/2019	8176.0	Single Family Residence	4.0	3.0	2215.0	6163.0	1930		1800000.0	1102357126	Alameda County, CA	011 092501201	502500.0	1172500.0	1675000.0	23664 (1.41 %)	3	308	307	310	4
2137 Buckskin Rd	Livermore	CA	94551	11/05/2019	3407.0	Single Family Residence	4.0	2.0	1418.0	10740.0	1968		750000.0	1102338583	Alameda County, CA	099 130508800	138305.0	322712.0	461017.0	6253 (1.35 %)	3	51	33	92	4
2260 Belvedere Ave	San Leandro	CA	94577	11/05/2019	2317.0	Townhouse	3.0	2.0	1176.0	1860.0	1972		510000.0	1102342227	Alameda County, CA	080G092914600	105251.0	245587.0	350838.0	4795 (1.36 %)	0	123	79	226	0
1645 Daily Ct	San Leandro	CA	94577	11/05/2019	4760.0	Single Family Residence	3.0	2.5	3876.0	8850.0	1968		1048000.0	1102345069	Alameda County, CA	079 001703300	68236.0	136633.0	204869.0	3059 (1.49 %)	3	123	79	226	4
920 Longwood Ave	Hayward	CA	94541	11/05/2019	2498.0	Single Family Residence	3.0	1.0	1026.0	5100.0	1951		550000.0	1102346375	Alameda County, CA	432 006413200	25984.0	25350.0	51334.0	887 (1.72 %)	3	123	84	213	4
3069 Paseo Granada	Pleasanton	CA	94566	11/05/2019	7041.0	Single Family Residence	4.0	3.0	3104.0	6501.0	1990		1550000.0	1102347225	Alameda County, CA	946 457111000	399330.0	931770.0	1331100.0	15420 (1.15 %)	3	33	19	65	4
23071 Eddy St	Hayward	CA	94541	11/05/2019	3157.0	Single Family Residence	3.0	2.0	1238.0	6550.0	1954		695000.0	1102345162	Alameda County, CA	417 019004300	16266.0	37603.0	53869.0	1217 (2.25 %)	3	123	84	213	4
1414 Myrtle St	Oakland	CA	94607	11/05/2019	50.0	Residential - Vacant Land				5000.0			11000.0	1102344347	Alameda County, CA	005 038301700	4976.0	0.0	4976.0	785 (15.78 %)	3	308	307	310	4
39 Huested St	Pleasanton	CA	94566	11/05/2019	4520.0	Residential - Vacant Land				1726.0			995000.0	1102336995	Alameda County, CA	946 463003000					0	33	19	65	0
1420 Myrtle St	Oakland	CA	94607	11/05/2019	50.0	Religious, Church, Worship (Synagogue, Temple, Parsonage)			5525.0	9525.0	1912		11000.0	1102370675	Alameda County, CA	005 038301800	40139.0	124219.0	164358.0	1179 (0.71 %)	3	308	307	310	4
247 4th St Apt 407	Oakland	CA	94607	06/28/2005	3330.0	Condominium		1.0	1465.0		1923	733000.0		1102345212	Alameda County, CA	001 015504500	43933.0	395404.0	439337.0	7318 (1.66 %)	3	308	307	310	4
477 62nd St	Oakland	CA	94609	11/05/2019	6813.0	Duplex (2 units, any combination)	4.0	3.0	2208.0	3000.0	1908		1500000.0	1102379984	Alameda County, CA	016 139001000	345000.0	805000.0	1150000.0	16851 (1.46 %)	3	308	307	310	4
5625 McLaughlin Ave	Newark	CA	94560	11/05/2019	3679.0	Single Family Residence	3.0	2.0	1650.0	6200.0	1959		810000.0	1102339797	Alameda County, CA	092A078001400	250000.0	445000.0	695000.0	8585 (1.23 %)	0	86	56	155	0
2406 Harrington Ave	Oakland	CA	94601	11/05/2019	4429.0	Duplex (2 units, any combination)	6.0	5.0	3882.0	7575.0	2013		975000.0	1102347765	Alameda County, CA	032 210005100	220320.0	514080.0	734400.0	11263 (1.53 %)	3	308	307	310	4
433 Harlan St Apt 105	San Leandro	CA	94577	11/05/2019	1567.0	Condominium	1.0	1.0	680.0		1964		345000.0	1102382490	Alameda County, CA	075 007703400	71910.0	167790.0	239700.0	3452 (1.44 %)	3	123	79	226	4
430 Puerto Pl # 20	Hayward	CA	94541	11/05/2019	2498.0	Condominium	2.0	2.5	1412.0		1980		550000.0	1102342625	Alameda County, CA	431 007210700	77349.0	180481.0	257830.0	3389 (1.31 %)	3	123	84	213	4
5675 Sterling St	Dublin	CA	94568	11/05/2019	3384.0	Residential - Vacant Land							745000.0	1102335598	Alameda County, CA	986 005413200					0	33	18	70	0
2648 Parker Ave	Oakland	CA	94605	11/05/2019	6586.0	Quadruplex (4 units, any combination)	12.0	8.0	3584.0	7500.0	1989		1450000.0	1102378590	Alameda County, CA	040 338503100	316500.0	738500.0	1055000.0	6669 (0.63 %)	3	308	307	310	4
1004 Fontana Dr	Alameda	CA	94502	11/05/2019	68.0	Townhouse	3.0	2.5	1584.0	1650.0	1968		15000.0	1102384996	Alameda County, CA	074 105905600	100240.0	233893.0	334133.0	4693 (1.40 %)	3	66	37	135	4
19690 Camden Ave	Hayward	CA	94541	11/05/2019	3225.0	Single Family Residence	3.0	2.0	1680.0	12288.0	1925		710000.0	1102340946	Alameda County, CA	414 003608000	26195.0	44364.0	70559.0	1718 (2.43 %)	3	123	84	213	4
9200 Castlewood St	Oakland	CA	94605	11/05/2019	3702.0	Single Family Residence	3.0	2.0	1686.0	4830.0	1956		815000.0	1102346234	Alameda County, CA	043A475002500	167000.0	391000.0	558000.0	8555 (1.53 %)	3	308	307	310	4
6042 Outlook Ave	Oakland	CA	94605	11/05/2019	3498.0	Single Family Residence	2.0	1.5	1714.0	4750.0	1938		770000.0	1102343223	Alameda County, CA	037A275000500	168014.0	392034.0	560048.0	8582 (1.53 %)	3	308	307	310	4
