address_street	address_locality	address_region	address_code	date_sold	mortgage	info_type	info_bedrooms	info_bathrooms	info_size	info_lot_size	info_year_built	info_sold_price	info_property_id	info_county	info_parcel_number	taxes_land	taxes_improvements	taxes_total	taxes_taxes	school	total_crime	violent_crime	property_crime	foreclosures	year_sold
13161 Rainbow St	Garden Grove	CA	92843	11/07/2019	3030.0	Single Family Residence	4.0	3.0	1828.0	7204.0	1964.0	667000.0	1101827501	Orange County, CA	10161211	157651.0	120198.0	277849.0	12178 (4.38 %)	3	76.0	57.0	122.0	4	2019
31 Danbury	Ladera Ranch	CA	92694	11/07/2019	4474.0	Single Family Residence	5.0	3.0	2229.0	4588.0	2000.0	985000.0	1101839458	Orange County, CA	75928233	502545.0	319260.0	821805.0	11061 (1.34 %)	3	39.0	34.0	51.0	4	2019
28061 Calle Valdes	Mission Viejo	CA	92692	11/07/2019	2907.0	Single Family Residence	3.0	2.0	1453.0	3532.0	1974.0	640000.0	1101844305	Orange County, CA	80805428	116277.0	107015.0	223292.0	2206 (0.98 %)	3	29.0	25.0	39.0	4	2019
622 E Berkeley St	Santa Ana	CA	92707	11/07/2019	2748.0	Single Family Residence	4.0	2.0	1228.0	6832.0	1955.0	605000.0	1101841850	Orange County, CA	1421306	21968.0	39391.0	61359.0	952 (1.55 %)	3	128.0	128.0	128.0	4	2019
9432 Alderbury St	Cypress	CA	90630	11/07/2019	3600.0	Single Family Residence	4.0	3.0	2322.0	5700.0	1965.0	792500.0	1101855226	Orange County, CA	24401604	139558.0	177807.0	317365.0	3780 (1.19 %)	3	31.0	15.0	68.0	4	2019
9652 Brynmar Dr	Villa Park	CA	92861	11/07/2019	5001.0	Single Family Residence	3.0	2.0	2292.0	20291.0	1968.0	1101000.0	1101834687	Orange County, CA	37203228	45213.0	99655.0	144868.0	2082 (1.43 %)	3	21.0	1.0	67.0	4	2019
5575 Luz Del Sol Unit A	Laguna Woods	CA	92637	11/07/2019	4997.0	Condominium	2.0	2.0	2219.0		1980.0	1100000.0	1101828624	Orange County, CA	93799063	417482.0	268670.0	686152.0	6917 (1.00 %)	3	14.0	5.0	34.0	4	2019
342 Villa Point Dr	Newport Beach	CA	92660	11/07/2019	4197.0	Condominium	2.0	2.0	1298.0		1990.0	924000.0	1101874420	Orange County, CA	93963534	218542.0	184628.0	403170.0	4514 (1.11 %)	3	49.0	31.0	90.0	4	2019
16193 Hemp Cir	Fountain Valley	CA	92708	11/07/2019	3988.0	Single Family Residence	3.0	2.0	1584.0	7616.0	1971.0	878000.0	1101841378	Orange County, CA	14353419	409163.0	103681.0	512844.0	6008 (1.17 %)	3	41.0	11.0	110.0	4	2019
28247 Paseo El Siena # 33	Laguna Niguel	CA	92677	11/07/2019	2180.0	Condominium	2.0	3.0	1342.0		1986.0	480000.0	1101845103	Orange County, CA	93919785	347366.0	111634.0	459000.0	4586 (0.99 %)	3	29.0	26.0	35.0	4	2019
